system,topic_id,status,candidate_chars,reference_chars,rouge1,rouge2,rougeL,bertscore_precision,bertscore_recall,bertscore_f1
flowernet_wo_multidim,fw24_002,ok,4801,28442,0.055961070559610714,0.00975609756097561,0.029197080291970802,0.7859804630279541,0.8017452955245972,0.7937846183776855
vanilla_llm,fw24_003,ok,1176,34662,0.02317073170731707,0.004884004884004885,0.01829268292682927,0.7902956008911133,0.7988582849502563,0.7945538759231567
self_refine,fw24_003,ok,1196,34662,0.014519056261343012,0.0036341611144760752,0.013309134906231096,0.7898908853530884,0.7983565330505371,0.7941011190414429
cogwriter_adapter,fw24_003,ok,1204,34662,0.022919179734620026,0.004830917874396136,0.018094089264173704,0.7922924757003784,0.8022183775901794,0.7972245216369629
longwriter_gguf_ollama,fw24_003,failed_invalid_output,0,34662,0.0,0.0,0.0,,,
arise_adapter,fw24_003,ok,1350,34662,0.046783625730994156,0.0058548009367681494,0.03274853801169591,0.7885339856147766,0.7987191081047058,0.7935938835144043
flowernet_full,fw24_003,ok,4794,34662,0.053392658509454946,0.0066815144766146995,0.041156840934371525,0.7925089597702026,0.8015445470809937,0.7970011830329895
flowernet_wo_bandit,fw24_003,ok,4797,34662,0.056887897378694915,0.007816862088218872,0.04015616285554936,0.7965824604034424,0.8060407638549805,0.8012836575508118
flowernet_wo_nli,fw24_003,ok,4538,34662,0.040654997176736304,0.003391746749576032,0.03387916431394692,0.7834569215774536,0.7958136796951294,0.7895869612693787
flowernet_wo_multidim,fw24_003,ok,4678,34662,0.052135330005546314,0.007773459189339255,0.041042706600110924,0.7884432673454285,0.8038575649261475,0.7960757613182068
vanilla_llm,fw24_004,ok,1178,24002,0.02680965147453083,0.002082248828735034,0.019302949061662196,0.7931142449378967,0.7959815263748169,0.7945452332496643
self_refine,fw24_004,ok,1322,24002,0.042663891779396466,0.005055611729019212,0.026014568158168574,0.787725031375885,0.7977808117866516,0.7927210330963135
cogwriter_adapter,fw24_004,ok,1243,24002,0.02144772117962467,0.002082248828735034,0.012868632707774798,0.7910807728767395,0.7951363921165466,0.7931033968925476
longwriter_gguf_ollama,fw24_004,failed_invalid_output,0,24002,0.0,0.0,0.0,,,
arise_adapter,fw24_004,ok,1299,24002,0.0304302203567681,0.0021008403361344537,0.018887722980062957,0.7797448635101318,0.7930055856704712,0.7863193154335022
flowernet_full,fw24_004,ok,4848,24002,0.06856023506366307,0.006862745098039216,0.04113614103819785,0.7926476001739502,0.7966567277908325,0.7946470975875854
flowernet_wo_bandit,fw24_004,ok,4655,24002,0.030927835051546393,0.002004008016032064,0.020618556701030927,0.7893126010894775,0.7936476469039917,0.7914742231369019
flowernet_wo_nli,fw24_004,ok,4437,24002,0.03379416282642089,0.0020502306509482316,0.021505376344086023,0.7886923551559448,0.7975651025772095,0.7931039333343506
flowernet_wo_multidim,fw24_004,ok,4798,24002,0.04242424242424243,0.003033367037411527,0.026262626262626262,0.7872076630592346,0.7959027886390686,0.7915313839912415
vanilla_llm,fw24_005,ok,1226,34576,0.03931451612903226,0.005045408678102926,0.024193548387096774,0.7789467573165894,0.7930023670196533,0.7859116792678833
self_refine,fw24_005,ok,1106,34576,0.0262891809908999,0.004048582995951417,0.01820020222446916,0.7809457182884216,0.7932575941085815,0.7870535254478455
cogwriter_adapter,fw24_005,ok,1131,34576,0.025239777889954566,0.00202122283981809,0.015143866733972743,0.7782093286514282,0.7902003526687622,0.7841590046882629
longwriter_gguf_ollama,fw24_005,failed_invalid_output,0,34576,0.0,0.0,0.0,,,
arise_adapter,fw24_005,ok,1257,34576,0.040533860603064756,0.009896091044037604,0.02471576866040534,0.7664228677749634,0.7948501110076904,0.7803776860237122
vanilla_llm,fw24_006,ok,1202,31453,0.029234737747205503,0.0103359173126615,0.01891659501289768,0.7895969152450562,0.8042436838150024,0.7968529462814331
self_refine,fw24_006,ok,1169,31453,0.008650519031141867,0.0,0.006920415224913495,0.7863178849220276,0.797558069229126,0.7918980717658997
cogwriter_adapter,fw24_006,ok,1198,31453,0.022608695652173914,0.0,0.01565217391304348,0.7892962098121643,0.7976729273796082,0.7934624552726746
longwriter_gguf_ollama,fw24_006,failed_invalid_output,0,31453,0.0,0.0,0.0,,,
arise_adapter,fw24_006,ok,1153,31453,0.0240343347639485,0.0,0.017167381974248927,0.7909488081932068,0.801235020160675,0.796058714389801
flowernet_full,fw24_006,ok,4612,31453,0.06593406593406594,0.0110062893081761,0.04081632653061225,0.7871586680412292,0.8042553663253784,0.7956152558326721
flowernet_wo_bandit,fw24_006,ok,4893,31453,0.10760953112990007,0.013856812933025403,0.04919292851652575,0.793808102607727,0.8057519197463989,0.7997353672981262
flowernet_wo_nli,fw24_006,ok,4809,31453,0.050736497545008176,0.004918032786885246,0.031096563011456628,0.7768810391426086,0.7982509136199951,0.7874209880828857
flowernet_wo_multidim,fw24_006,ok,4746,31453,0.05638474295190713,0.004366812227074236,0.03980099502487562,0.7905039191246033,0.8055479526519775,0.7979549765586853
vanilla_llm,fw24_007,ok,1281,24002,0.032603158430973,0.0030596634370219276,0.018339276617422316,0.7808902859687805,0.7882397174835205,0.7845478653907776
self_refine,fw24_007,ok,1279,24002,0.02756508422664625,0.002150537634408602,0.014293006636038795,0.7817324995994568,0.7853223085403442,0.7835233211517334
cogwriter_adapter,fw24_007,ok,1230,24002,0.01859504132231405,0.0,0.010330578512396695,0.7810319066047668,0.7878391742706299,0.7844207882881165
longwriter_gguf_ollama,fw24_007,failed_invalid_output,0,24002,0.0,0.0,0.0,,,
arise_adapter,fw24_007,ok,1320,24002,0.033797216699801194,0.004975124378109453,0.02186878727634195,0.772758960723877,0.785905122756958,0.7792766094207764
vanilla_llm,fw24_008,ok,1171,18338,0.028112449799196786,0.002012072434607646,0.01807228915662651,0.7869372367858887,0.7916941046714783,0.7893084287643433
self_refine,fw24_008,ok,1229,18338,0.02618328298086606,0.004036326942482341,0.02014098690835851,0.7891680002212524,0.7936254739761353,0.7913904786109924
